
essere,to be,sono,sei,è,siamo,siete,sono,False,
abitare,to reside,abito,abiti,abita,abitiamo,abitate,abitano,True,
aiutare,to help,aiuto,aiuti,aiuta,aiutiamo,aiutate,aiutano,True,
alzarsi,to do,mi alzo,ti alzi,si alza,ci alziamo,vi alzate,si alzano,False,
amare,to love,amo,ami,ama,amiamo,amate,amano,True,
andare,to go,vado,vai,va,andiamo,andate,vanno,True,
aprire,to open,apro,apri,apre,apriamo,aprite,aprono,True,
arrivare,to arrive,arrivo,arrivi,arriva,arriviamo,arrivate,arrivano,True,
ascoltare,to listen,ascolto,ascolti,ascolta,ascoltiamo,ascoltate,ascoltano,True,
aspettare,to wait for,aspetto,aspetti,aspetta,aspettiamo,aspettate,aspettano,True,
avere,to have,ho,hai,ha,abbiamo,avete,hanno,False,
ballare,to dance,ballo,balli,balla,balliamo,ballate,ballano,True,
bere,to drink,bevo,bevi,beve,beviamo,bevete,bevono,True,
cambiare,to exchange,cambio,cambi,cambia,cambiamo,cambiate,cambiano,True,
camminare,to walk,cammino,cammini,cammina,camminiamo,camminate,camminano,True,
cantare,to sing,canto,canti,canta,cantiamo,cantate,cantano,True,
capire,to understand,capisco,capisci,capisce,capiamo,capite,capiscono,True,
cavalcare,to ride,cavalco,cavalchi,cavalca,cavalchiamo,cavalcate,cavalcano,True,
cenare,to dine,ceno,ceni,cena,ceniamo,cenate,cenano,True,
cercare,to look for,cerco,cerchi,cerca,cerchiamo,cercate,cercano,True,
chiamare,to call,chiamo,chiami,chiama,chiamiamo,chiamate,chiamano,True,
chiedere,to ask,chiedo,chiedi,chiede,chiediamo,chiedete,chiedono,True,
chiudere,to close,chiudo,chiudi,chiude,chiudiamo,chiudete,chiudono,True,
cominciare,to begin,comincio,cominci,comincia,cominciamo,cominciate,cominciano,True,
comprare,to buy,compro,compri,compra,compriamo,comprate,comprano,True,
conoscere,to know,conosco,conosci,conosce,conosciamo,conoscete,conoscono,True,
controllare,to check,controllo,controlli,controlla,controlliamo,controllate,controllano,True,
correre,to run,corro,corri,corre,corriamo,correte,corrono,True,
costare,to cost,costo,costi,costa,costiamo,costate,costano,True,
creare,to create,creo,crei,crea,creiamo,create,creano,True,
credere,to believe,credo,credi,crede,crediamo,credete,credono,True,
cucinare,to cook,cucino,cucini,cucina,cuciniamo,cucinate,cucinano,True,
danzare,to dance,danzo,danzi,danza,danziamo,danzate,danzano,True,
dare,to give,do,dai,dà,diamo,date,danno,False,
dimenticare,to forget,dimentico,dimentichi,dimentica,dimentichiamo,dimenticate,dimenticano,True,
dire,to say,dico,dici,dice,diciamo,dite,dicono,True,
disegnare,to draw,disegno,disegni,disegna,disegniamo,disegnate,disegnano,True,
divertirsi,to enjoy,mi diverto,ti diverti,si diverte,ci divertiamo,vi divertite,si divertono,False,
entrare,to enter,entro,entri,entra,entriamo,entrate,entrano,True,
