Italian          ,English,Part of Speech,IPA Pronunciation,Gender,Context,Synonyms,Example Sentence,Example Sentence English,Category,Deck Name,Deck GUID,Note GUID
abito,outfit; suit; dress,noun,/ˈabito/,masculine,Refers to clothing; a suit or dress worn on the body,vestito; completo,Indosso un abito nuovo per andare al ballo.,I wear a new outfit to go to the dance.,Clothing,Italian::A1::Vocab::Clothing,1019559507739,365002143696
acqua,water,noun,/ˈakkwa/,feminine,Refers to drinking water or water in general,N/A,Vorrei bere un bicchiere di acqua fredda.,I would like to drink a glass of cold water.,Food & Drink,Italian::A1::Vocab::Food & Drink,422940158572,243544878248
adesso,now,adverb,/aˈdesso/,N/A,Used for the present moment; more colloquial than 'ora',ora,Adesso devo studiare per imparare le parole nuove.,Now I need to study to learn the new words.,Time,Italian::A1::Vocab::Time,781073502550,721872792066
adulto,adult,noun,/aˈdulto/,masculine,Refers to a grown person; also used as an adjective,grande,Un adulto deve lavorare e pagare le cose.,An adult must work and pay for things.,People,Italian::A1::Vocab::People,1054905778847,672575285338
aeroplano,airplane,noun,/aeroˈplano/,masculine,A fixed-wing aircraft for air travel,aereo,Voglio prendere un aeroplano e volare in Italia.,I want to take an airplane and fly to Italy.,Transportation,Italian::A1::Vocab::Transportation,845656063355,760561955852
agosto,August,noun,/aˈɡosto/,masculine,The eighth month of the year; summer holiday period,N/A,In agosto fa molto caldo e andiamo al mare.,In August it is very hot and we go to the sea.,Time,Italian::A1::Vocab::Time,781073502550,569835933748
aiuto,help; aid,noun,/aˈjuto/,masculine,Refers to assistance or support given to someone,assistenza; soccorso,Ho bisogno di aiuto per capire questo alfabeto nuovo.,I need help to understand this new alphabet.,Everyday Life,Italian::A1::Vocab::Everyday Life,830908692410,251195534406
albergo,hotel,noun,/alˈbɛrɡo/,masculine,A place to stay when traveling; a lodging establishment,hotel,Cerco un albergo bello vicino alla banca in centro.,I am looking for a nice hotel near the bank downtown.,Places,Italian::A1::Vocab::Places,439811229925,88917499516
albero,tree,noun,/ˈalbero/,masculine,A tall plant with a trunk and branches,pianta,Guardo un albero alto nel giardino della casa.,I look at a tall tree in the garden of the house.,Nature,Italian::A1::Vocab::Nature,674825577948,299124772622
alfabeto,alphabet,noun,/alfaˈbɛto/,masculine,The set of letters used in a writing system,N/A,Devo imparare tutto l'alfabeto italiano per leggere bene.,I need to learn the whole Italian alphabet to read well.,Education,Italian::A1::Vocab::Education,307004269861,132495973680
alto,tall; high,adjective,/ˈalto/,N/A,Describes height of people or objects; opposite of 'basso',grande; elevato,L'albero è molto alto e il bambino è basso.,The tree is very tall and the child is short.,Descriptions,Italian::A1::Vocab::Descriptions,166285693280,332520960126
