essere,to be,sono,I am,sei,you are,è,he/she/it is,siamo,we are,siete,you all are,sono,they are,
abitare,to reside,abito,I reside,abiti,you reside,abita,he/she/it resides,abitiamo,we reside,abitate,you all reside,abitano,they reside,
aiutare,to help,aiuto,I help,aiuti,you help,aiuta,he/she/it helps,aiutiamo,we help,aiutate,you all help,aiutano,they help,
alzarsi,to do,mi alzo,I get up,ti alzi,You get up,si alza,He/She/It get up,ci alziamo,We get up,vi alzate,You all get up,si alzano,They get up,
amare,to love,amo,I love,ami,you love,ama,he/she/it loves,amiamo,we love,amate,you all love,amano,they love,
andare,to go,vado,I go,vai,you go,va,he/she/it goes,andiamo,we go,andate,you all go,vanno,they go,
aprire,to open,apro,I open,apri,you open,apre,he/she/it opens,apriamo,we open,aprite,you all open,aprono,they open,
arrivare,to arrive,arrivo,I arrive,arrivi,you arrive,arriva,he/she/it arrives,arriviamo,we arrive,arrivate,you all arrive,arrivano,they arrive,
ascoltare,to listen,ascolto,I listen,ascolti,you listen,ascolta,he/she/it listens,ascoltiamo,we listen,ascoltate,you all listen,ascoltano,they listen,
aspettare,to wait for,aspetto,I wait for,aspetti,you wait for,aspetta,he/she/it waits for,aspettiamo,we wait for,aspettate,you all wait for,aspettano,they wait for,
avere,to have,ho,I have,hai,you have,ha,he/she/it has,abbiamo,we have,avete,you all have,hanno,they have,
ballare,to dance,ballo,I dance,balli,you dance,balla,he/she/it dances,balliamo,we dance,ballate,you all dance,ballano,they dance,
bere,to drink,bevo,I drink,bevi,you drink,beve,he/she/it drinks,beviamo,we drink,bevete,you all drink,bevono,they drink,
cambiare,to exchange,cambio,I exchange,cambi,you exchange,cambia,he/she/it exchanges,cambiamo,we exchange,cambiate,you all exchange,cambiano,they exchange,
camminare,to walk,cammino,I walk,cammini,you walk,cammina,he/she/it walks,camminiamo,we walk,camminate,you all walk,camminano,they walk,
cantare,to sing,canto,I sing,canti,you sing,canta,he/she/it sings,cantiamo,we sing,cantate,you all sing,cantano,they sing,
capire,to understand,capisco,I understand,capisci,you understand,capisce,he/she/it understands,capiamo,we understand,capite,you all understand,capiscono,they understand,
cavalcare,to ride,cavalco,I ride,cavalchi,you ride,cavalca,he/she/it rides,cavalchiamo,we ride,cavalcate,you all ride,cavalcano,they ride,
cenare,to dine,ceno,I dine,ceni,you dine,cena,he/she/it dines,ceniamo,we dine,cenate,you all dine,cenano,they dine,
cercare,to look for,cerco,I look for,cerchi,you look for,cerca,he/she/it looks for,cerchiamo,we look for,cercate,you all look for,cercano,they look for,
chiamare,to call,chiamo,I call,chiami,you call,chiama,he/she/it calls,chiamiamo,we call,chiamate,you all call,chiamano,they call,
chiedere,to ask,chiedo,I ask,chiedi,you ask,chiede,he/she/it asks,chiediamo,we ask,chiedete,you all ask,chiedono,they ask,
chiudere,to close,chiudo,I close,chiudi,you close,chiude,he/she/it closes,chiudiamo,we close,chiudete,you all close,chiudono,they close,
cominciare,to begin,comincio,I begin,cominci,you begin,comincia,he/she/it begins,cominciamo,we begin,cominciate,you all begin,cominciano,they begin,
comprare,to buy,compro,I buy,compri,you buy,compra,he/she/it buys,compriamo,we buy,comprate,you all buy,comprano,they buy,
conoscere,to know,conosco,I know,conosci,you know,conosce,he/she/it knows,conosciamo,we know,conoscete,you all know,conoscono,they know,
controllare,to check,controllo,I check,controlli,you check,controlla,he/she/it checks,controlliamo,we check,controllate,you all check,controllano,they check,
correre,to run,corro,I run,corri,you run,corre,he/she/it runs,corriamo,we run,correte,you all run,corrono,they run,
costare,to cost,costo,I cost,costi,you cost,costa,he/she/it costs,costiamo,we cost,costate,you all cost,costano,they cost,
creare,to create,creo,I create,crei,you create,crea,he/she/it creates,creiamo,we create,create,you all create,creano,they create,
credere,to believe,credo,I believe,credi,you believe,crede,he/she/it believes,crediamo,we believe,credete,you all believe,credono,they believe,
cucinare,to cook,cucino,I cook,cucini,you cook,cucina,he/she/it cooks,cuciniamo,we cook,cucinate,you all cook,cucinano,they cook,
danzare,to dance,danzo,I dance,danzi,you dance,danza,he/she/it dances,danziamo,we dance,danzate,you all dance,danzano,they dance,
dare,to give,do,I give,dai,you give,dà,he/she/it gives,diamo,we give,date,you all give,danno,they give,
dimenticare,to forget,dimentico,I forget,dimentichi,you forget,dimentica,he/she/it forgets,dimentichiamo,we forget,dimenticate,you all forget,dimenticano,they forget,
dire,to say,dico,I say,dici,you say,dice,he/she/it says,diciamo,we say,dite,you all say,dicono,they say,
disegnare,to draw,disegno,I draw,disegni,you draw,disegna,he/she/it draws,disegniamo,we draw,disegnate,you all draw,disegnano,they draw,
divertirsi,to enjoy,mi diverto,I enjoy,ti diverti,you enjoy,si diverte,he/she/it enjoys,ci divertiamo,we enjoy,vi divertite,you all enjoy,si divertono,they enjoy,
entrare,to enter,entro,I enter,entri,you enter,entra,he/she/it enters,entriamo,we enter,entrate,you all enter,entrano,they enter,
fare,to do,faccio,I do,fai,you do,fa,he/she/it does,facciamo,we do,fate,you all do,fanno,they do,
fermare,to stop,fermo,I stop,fermi,you stop,ferma,he/she/it stops,fermiamo,we stop,fermate,you all stop,fermano,they stop,
finire,to finish,finisco,I finish,finisci,you finish,finisce,he/she/it finishes,finiamo,we finish,finite,you all finish,finiscono,they finish,
